"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","A. Dillon","RB","GB","TEN","2022-11-18T01:15:00Z","8.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","A. Jones","RB","GB","TEN","2022-11-18T01:15:00Z","24.5","over","-120","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","A. Lazard","WR","GB","TEN","2022-11-18T01:15:00Z","48.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","C. Watson","WR","GB","TEN","2022-11-18T01:15:00Z","43.5","over","-113","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","R. Tonyan","TE","GB","TEN","2022-11-18T01:15:00Z","28.5","over","-115","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","A. Hooper","TE","TEN","GB","2022-11-18T01:15:00Z","24.5","over","-111","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","C. Okonkwo","TE","TEN","GB","2022-11-18T01:15:00Z","10.5","over","-118","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. Henry","RB","TEN","GB","2022-11-18T01:15:00Z","11.5","over","-112","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","N. Westbrook-Ikhine","WR","TEN","GB","2022-11-18T01:15:00Z","24.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","R. Woods","WR","TEN","GB","2022-11-18T01:15:00Z","33.5","over","-113","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","T. Burks","WR","TEN","GB","2022-11-18T01:15:00Z","33.5","over","-107","undefined","null","null","under","-127","undefined","null","null"
"recv_yd","D. Moore","WR","CAR","BLT","2022-11-20T18:00:00Z","52.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","T. Marshall Jr.","WR","CAR","BLT","2022-11-20T18:00:00Z","32.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","A. Kamara","RB","NO","LA","2022-11-20T18:00:00Z","32.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","C. Olave","WR","NO","LA","2022-11-20T18:00:00Z","51.5","over","-121","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","J. Landry","WR","NO","LA","2022-11-20T18:00:00Z","33.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","J. Johnson","TE","NO","LA","2022-11-20T18:00:00Z","25.5","over","-115","undefined","null","null","under","-117","undefined","null","null"